,text
392,marchew uśmiechnięte dzieci miałaby przekazywać informacje o pozytywnych konsekwencjach jedzenia marchwi rodzina spędzająca wspólnie czas jedząca razem posiłek radosnych ludzi zdrowie i radość
393,duże pola pełne rosnących marchwi  aby zachęcić do zakupu i zdrowego odżywiania  płynna kamera na polami pokazywanie potraw z marchwią  różne potrawy wschód słońca pełne koloru marchwie  zdrowe odżywianie
394,piramide żywieniową i to w jakiej pozycji na niej znajduje sie marchew  to że marchew zawiera wiele cennych witamin i jest zdrowa  osoba z doświadczeniem opowiadającach o korzyściach płynących ze zdrowego odzywiania w tym przypadku uświadomienie ludzi o cennych wartościach marchwi piramidę żywieniową i to w jakiej pozycji na niej znajduje sie marchew świadomość zdrowego odżywiania 
399,świeże chrupiące marcheki najlepiej zestawione z miękkimi zającami reklama zachęcałaby do zdrowej przekąski w formie marchwi rodzina przed telewizorem je marchewki  a z każdym ich ugryzieniem w pokoju pojawia się zająć koniecznie dźwięk łamanej marchewki tryskający przy tym sok zdrowa żywność zmiana nawyków żywieniowych
401,chciałbym oglądać reklamę zdrowych soków  przekaz miałyby taki że przekazane byłoby innym jak można odżywiać się zdrowo poprzez picie zdrowych soków z marchwi i jak mogłyby one oddziaływać na nasze zdrowie oraz samopoczucie chciałbym żeby zostało pokazane że także takie soki są dobre do picia a także mają wiele korzyści o których wcześniej wiele z nas nie wiedziało chciałbym zobaczyć pozytywny przekaz picia soków z marchwi oraz w jaki sposób mogą one być przygotowywane  miałoby przekazać takie wartości jak wzbogacenie posiłków poprzez picie zdrowego soku 
403,świeży produkt podkreślać jej pozytywny wpły na zdrowie postać zjada marchew i ukzane zostają korzyści płynące z jej zjedzenia uprawianie sportu prawidłowe wyniki badań medycznych uśmiechniętych pełnych energii ludzi zdrowy styl życia
404,np miejsce gdzie jest uprawiana jak jest uprawiana itp pokazanie trudu produkcji pokazana praca ludzka dobrze zmontowany materiał dotyczący jej uprawiania z widokami miłym dla oka  np informację o świadomym wyborze spośród różnego rodzaju uprawiania marchwi 
405,jedzenie nature warzywa cos powiazanego z marchwiami zachęcenie do spróbowania marchwi zwrócenia większej uwagi na nią w daniach cos interesujacego przyciągającego uwagę nie wyglądającego sztucznie i nie mającego schematu jak wszystkie inne reklamy  szczegóły zalet jakie dają warzywa zachęcenie do próbowania nowych przepisów czy upraw własnych warzyw z wyszczególnieniem marchwi swiadome jedzenie większą uwagę zarowno na sklady produktow jak i wartosci odzywcze np poszczegolnych warzyw
406,sposoby wykorzystania marchwi w kuchni zachęcający do kupna marchwi  gotowanie gotowanie i zbieranie plonów zdrowe odżywianie
408,marchew zdrowie marchew więcej marchwi zdrowie
411,przede wszystkim widok pola uprawnego a niekoniecznie ujęcia uśmiechniętych pracowników czy zadowolonych klientów reklama taka powinna podkreślać takie aspekty produktu jak świeżość ekologia higieniczność naturalność ujęcie pola uprawnego z rzędem posadzonych w ziemi marchwi które są starannie zbierane i których obraz w przybliżeniu ukazywałby zdrowy koloryt nawet przesadzony wyidealizowany odcień pomarańczowego ewentualnie jeszcze proces podlewania roślin  woda stanowi kolejny element zbliżający do natury pole uprawne marchwi wiele zieleni dookoła proces zbiorów lub nawadniania ujęcia z lotu ptaka oraz zbliżone kadry promowałaby ekologiczne uprawy bliskość z naturą lokalność produktu
412,pole zachwcenie do zakupu  rolnik pokazywał swoje uprawy dorodne marchewki  ekologie 
416,prawdopodobnie jakiś szczęśliwych zdrowych ludzi jedzących marchew jak są zbierane pokazane zalety jedzenia marchwi itp pozytywny wpływ jedzenia marchwi na zdrowie np pokazanie rodziny które zjada marchew i wskazanie zalet tego jak jest ta marchew uprawiana zbierana przewożona przetwarzana zalety jedzenia warzyw
418,zdrowych szczęśliwych ludzi można chrupać marchew zamiast chipsów jest to lepsze dla zdrowia środowiska jest impreza i wszyscy chrupią marchew albo piją sok marchwiowy pomysły na przepisy z marchwi marchew jest zdrowa kupując ją od danego producenta wspieramy rolników polskich
419,z całą pewnością marchew promowanie zdrowego trybu życia pokazane wszystkie korzyści płynące z jej spożywania  spożywanie marchwi przez osoby w różnym wieku dziecidorośliosoby starsze promowanie zdrowego trybu życia
420,zakładając ze chodzi tutaj o promocje warzywa jako produktu spożywczego a nie konkretnej marchwi firmy x zdrowe smaczne ciekawe dania z marchewką w roli głównej    promocje zbilansowanej diety przy użyciu marchwi   gotowanie chyba ze może posłużyć jako biopaliwo to wtedy np proces produkcji biopaliwa  estetyczne wykonanie dania jeżeli można się pochwalić jakimś międzynarodowym laurem jakości to mógłby zostać wymieniony   zdrowe jedzenie może być smaczne niezdrowe produkty mają zdrowe zamienniki do ciasta marchewkowego nie trzeba cukru
421,krolika który zjada marchewkę lub dziecko pijące sok marchewkowy  trzeba wcinać marchew żeby mieć witaminki i sile na działanie  reklama powinna być spokojna ale motywująca  przyjemne i spokojne kadry  warzywa są zdrowe i trzeba je jeść 
425,wiejski krajobraz zwyczajnych ludzi pijących sok z marchwi cenę i informacje gdzie i kiedy można je kupić  przekonanie mnie do tego że reklamowane marchwie są zdrowe a przede wszystkim smaczne i łatwo dostępne  chciałabym żeby to była która reklama więc wystarczy miły krajobraz ludzie jedzący tą marchewkę cenę miejsce gdzie można ja kupić promocja zdrowego jedznia które może być równie smaczne jak to niezdrowe
426,zwierzęta wpływ na organizmtrafienie poprzez niego do odbiorców śmieszne dialogi zwierzęce marchew  powinna posiadać argumenyy przemawiające za zawartą w niej treścią 
429,prawdziwe oblicze hodowli takiej naprawdę zdrowie bio marchwi  reklama miała by na celu pokazać że jedzenie marchwi przynosi dla naszego zdrowia wiele korzyści  coś zaskakującego aby przy oglądaniu mnie nie zanudziła  szybki zwiastun z hodowli takiej marchwi i wykresy pozwalające nam zrozumieć ile osób stosunkowo spożywa taka marchew i jakie ma z tego korzyści jego zdrowie  powinna zachęcić do spożywania i hodowli marchwi ponieważ wpływa bardzo pozytywnie na nasze zdrowie nasza cerę i wygląd 
432,dobrze zmontowany klip przedstawiający marchew  zachęcenie do kupna i wykorzystywania marchwi w swojej kuchni praca przy uprawie marchwiprzygotowywanie dania z marchwi dobrze dobrane kadry ciepłe kolory danie które można przygotować wykorzystując marchew wyjątkowość marchwi jej wartosci odżywcze 
433,prawdziwość  zdrowe odżywianie droga marchwi od uprawy do wykorzystania droga marchwi od uprawy do wykorzystania zdrowe odżywianie
434,marchew nacisk na zdrowe odżywianie marchewki ze sobą powinny gadać jakie właściwości ma marchew zdrowe odżywianie
436,króliki że jest zdrowa rolnik króliki karmie moje króliki tym co zdrowe dobra marchew uśmiech rolnika rolnika w kaszkiecie z brodą i szczęśliwe króliki marchew jest zdrowa kroliki jedzą marchew i są szczęśliwe
439,marchew pola nature farmerów rodzinę marchew jest zdrowa i pyszna lubią ja wszyscy duzi i mali nawet zwierzaki warto jeść marchew pokazanie procesu od siewu do zbiorów a następnie marchew na stołach polskich rodzin rolników dbających o marchew a potem rodziny ktore chętnie ją wykorzystują doobiadu czy świeżych soków marchew mogą jeść też zwierzęta np królik albo pies robiący sztuczki żeby dostać przysmakkwałek marchewki marchew to uniwersalny i zdrowy przysmak można ją zabrać na przekąskę do szkołypracy wykorzystać do pełnowartościowego obiadu lub wypić z sok z niej zrobiony np po jesiennym spacerze
440,od razu skojarzyłem sobie reklamę marchwi z animacją królikami zwierzątkami dla których jest ona pożywieniem  musiałaby pokazać pozytywne aspekty jedzenia marchwi jej pozytywny wpływ na organizm i zdrowie człowieka  jak wyżej ciekawa animacja lub scenka która przedstawi korzyści jedzenia marchwi  jak wyżej  pozytywny wpływ na zdrowie ekologię dobre samopoczucie itp
443,marchew i ludzi którzy ją jedzą korzyści płynące z jedzenia marchwi chciałbym widzieć ludzi jedzących marchew w różnych formach  surową jako dodatek lub główny składnik dania drogę marchwi z pola na talerz promocja rolnictwa ekologicznego i regionalnego oraz zdrowego stylu życia 
445,szczęśliwych ludzi spożywających marchew pozytywny zachęcający do częstszego spożycia  reklama mogłaby być pewnego rodzaju historią przedstawiającą marchew w różnych sytuacjachwydarzeniachdaniach coś ciekawego   pozytywne
448,świeże marchewki  że są zdrowe i pyszne  szczęśliwa rodzina i dzieci jadły marchewki lub pyszna potrawę z marchwi wraz z podanym przepisem  szczęśliwych i zdrowych ludzi i przepis na danie z marchewka  zdrowie 
449,pola uprawne wschód słońca że są uprawiane w ekologiczny sposób aby pokazany był proces ich zbierania obróbki łatwe sposoby na przygotowanie dania z marchwii że są one zdrowe i w przystępnej cenie
450,świeżość  wspierania lokalności  nie wiem  marchew  pkt 
451,spokojną prezentacje produktu brak jakichkolwiek szybkich kadrów działalnośc zdrowotna  zmiana nawyków żywieniowych człowiek marchewka konsumuję marchew w róznych postaciach marchew w smacznej postaci takiej która zachęca do jej kupna pozytywny wpływ karotenu na wzrok
454,różne formy podania marchewki  marchew jest smaczna kup ją ludzie gotują razem jak zrobić marchewkężeby smakowała jak łosoś zdrowe odżywianie
457,marchew dzieci krajobrazy polne zachęcać do jedzenia marchwi śpiew picie soku marchwiowego zabawa dzieci to co w pytaniu  zdrowe odżywianie 
458,produkt miejsce uprawy i ewentualnego przetwarzania jak można z nich korzystać przykładowe dania marchewki są zdrowe i tanie ktoś powinien o nich opowiadać to samo co w odpowiedzi  to samo co w odpowiedzi 
459,piękne marchwie wykopane prosto z pola  dorodne które chwilę po tym zjadają je dzieci  zdrowe odżywianie społeczeństwa oraz wsparcie polskich gospodarstw  piękne marchwie wykopane prosto z pola  dorodne które chwilę po tym zjadają je dzieci  gospodarstwo ekologiczne które uprawia ekologiczną marchew  zdrowe odżywianie i ekologiczną żywność polskich gospodarstw 
460,w takich reklamach chciałabym oglądać proces jej zbioru oraz drogę od uprawy aż do konsumenta nabywającego to warzywo reklama ta miałaby ukazywać walory smakowe i zdrowotne warzywa co miałoby zachęcić do częstszego spożywania marchwi pod różnymi postaciami chciałabym żeby w takiej reklamie poszczególni ludzie wykonywali pracę która w efekcie pozwala konsumentowi kupić marchew oraz wykorzystać ją w swojej kuchni w takiej reklamie chciałabym zobaczyć żyzną ziemię w której rośnie marchew oraz proces podczas którego marchew rośnie aż staje się dostatecznie dojrzała i dorodna by rolnik mógł dokonać zbiorów  takiej reklamie miałaby przyświecać idea zdrowego zbilansowanego żywienia oraz dbałości o zdrowie i dostarczanie potrzebnych składników odżywczych organizmowi
463,wydaje mi się że swego rodzaju ciekawostki które miałyby zachęcić do zakupuspożywania ich czysto informacyjny  dobrym pomysłem byłoby dodanie jakichś dowcipów ponieważ marchewki same w sobie nie są jakimś ciekawym tematem przynajmniej nie dla mnie d różnice między osobą regularnie spożywająca marchewki a osobą nie robiącą tego w celu pokazania że ma to znaczenie i jest ważne dla człowieka według mnie oczywistym wyborem jest promowanie zdrowego odżywiania oraz korzyści płynących ze spożywania marchewek
465,pole marchewek rolnika opowiadającego że to uprawa ekologiczna ze marchew jest zdrowa muzyka i dużo klatek z całą uprawą  marchew ciekawostki związane z marchewką  ze marchew ma dużo witamin i że jest smaczna 
466,środowisko w ktorym rośnie ze należy wybrać właśnie ta marchew aby była ciekawa ładny krajobraz dojrzałe marchewki  informacja o wartościach odżywczych 
470,świeża marchewka ziemia pole  dbanie o zdrowie środowisko zbieranie marchwi prosto z pola natura pola świadomość na temat produktów ekologicznych
473,marchew może krajobrazy mogłaby pojawić się marchew jakieś chwytliwe ciekawe hasło coś zabawnego nietypowego że jedzenie marchwi i warzyw jest zdrowe
478,marchew ze jej jedzenie jest zdrowe pokaz potraw z marchwi wyciskanie soków miejsca zakupu marchwi ekologicznej cena jw witariański pomysł na życie na zdrowe życie
479,marchew i sok z marchwi że marchew jest zdrowa żeby robili sok z marchwi i żeby jakiś królil był i robił narrację uśmiechy ludzi królika pole z uprawą marchwi  zdrowy styl życia
480,polskie produkty zakupy eko przepisy jedzenie z marchewkami marchewki zdrowa żywność wegetarianizm weganizm
481,marchewki w różnorodnych kształtach i rozmiarach zdrowiezdrowy tryb życia jakaś scenka między marchewkami najlepiej nawiązująca do zdrowego trybu życia i z poczuciem umoru różnorodność  bycie eko dbanie o siebie i własne zdrowie
482,realny produkt jakaś mądrość życiowa może coś typu przypowieści ożywione warzywa dobre są rodzime produkty
484,właściwości zdrowotne marchwi uświadomienie konsumentom dlaczego warto jeść marchewkę jasny zrozumiały dla każdego o średnim ilorazie intrligencji na przykład uprawa z rolnictwa ekologicznego co to w odp  zdrowe odżywianie
488,ładne dorodne marchewki naturę że warto je jeść  sceny z jakiegoś gospodarstwa rolnego lub przykłady wykorzystania tego warzywa do różnych celów ludzi uprawiających marchew oraz ładne okazy ewentualnie zadowolonych konsumentów zdrowe odżywianie rolnictwo ekologiczne prozdrowotne działanie marchwi możliwości użycia marchwi w przemyśle 
489,marchew d po prostu prosto  zwięzłe na temat zdrowie przyciemnienie skory może jakiś królik przetwory na sok jedzenie jej i przynoszące efekty zdrowie przede wszystkim
496,soki  zdrowe odżywianie  aby przyciągnęła uwagę odbiorcy  pokazać dobre jej zastosowanie  marchewka ma witaminy potrzebne do prawidłowego odżywiania się 
497,krótkie  lecz przerażajace filmiki kupuj marchewki i będziesz wiedzieć co robią sąsiedzi  chciałbym żeby była ta reklama podobna do intra w the simpsons zawsze mają czym zachwycić  zającadudęcelnika wartości dobrego odżywiania 
502,chciałabym oglądać w jaki sposób są uprawiane reklama miałaby zachęcać ogladajacego do zakupu marchwi z danej hodowli chcialabym zeby ukazany były realia uprawiania marchwi prawdziwą marchew  miałaby zachęcać do wyboru marchwi z bezpiecznego źródła 
503,po prostu marchew wszystkie inne elemety powodują że reklama jest chaotyczna i widz może nie rozumieć co właściwie reklamuje powinna zachęcić do jej kupna ale być jednocześnie prosta i pozbawiona głupich treści można pokazać jak wygląda proces chodowli traksportu i kupna tego warzywa im więcej odbiorca wie o danym produkcie tym lepiej jak wygląda proces chodowli warzywa  np czy nie została użyta w trakcie chemia powinna zachęcić potencjalnego kupującego do kupienia zdrowej marchwii pozbawionej chemii
504,wycieczka szkolną dzieci po polach marchewkowych jak istotna dla naszego organizmu jest marchew oraz przedstawienie celu reklamy np promocyjna cena przedstawienie wytwarzania produktu itp marchewkowy przewodnik opowiada dziecią o korzyściach ze spożywania marchwi oraz jak powstaje produkt pole marchewkowe marchewkę przewodnika korzyści że spożywania marchwi oraz poinformować jak można ją wykorzystać 
506,miejsce uprawy czy jest z naszego kraju czy nie produkt zachęcenie odbiorców do spożywania jej w codziennym życiu lub do wykorzystania do produkcji różnych rzeczy np kosmetyki pokazanie jej zastosowań i korzyści z niej płynących  szczęśliwych ludzi  zdrowotne zostosowanie i wykorzystanie w rożnym przemyśle 
508,świeże marchewki bardzo czyste ale również te takie dopiero zebrane z pola że marchew jest zdrowa rolnik odgania króliki od swojego pola z marchwią  przystojnego rolnika marchew jest bogata w wiele witamin i nie tylko będziemy się czuli zdrowiej ale również zyska na niej nasza cera 
512,marchewki  zalety jedzenia marchwi pokazanie uprawy marchwi jak uprawiana jest marchew zalety jedzenia marchwi
515,marchew która jest dojrzała a jej wygląd zachęca do spożycia zachęcanie do jedzenia warzyw i prowadzenie zdrowego stylu życia pokazanie ludzi o dobrej tężyźnie fizycznej którzy spożywają marchew odpowiedź analogiczna z tą na pytanie pierwsze uświadomienie odbiorcy o witaminach zawartych w marchwi i dobrego wpływu na zdrowie człowieka
518,bardzo chciałabym zobaczyć w reklamach więcej informacji o witaminach zawartych w marchwi oraz o jej pozytywny wpływie na nasze zdrowie   najbardziej pozytywny oraz zachęcający do włączenia marchwi do swojej codziennej diety  bardziej chciałaby żeby to był ciekawy przekaz który zainteresuje widza od samego początku według mnie bardzo ciekawym elementem reklamy byłoby przedstawienie przykładowych sposób przyrządzenia dań z dodatkiem marchwi oczywiście wiem że czas jest ograniczony   powinna przedstawiać zalety spożywania marchwi
519,zające zieloną trawę marchew że warto jeść archew bo jest zdrowa i smaczna ludzie by jedli marchew i uprawiali sport prezentowali zdrowy tryb życia  to samo co wyzej napisane zdrowie zdrowy styl życia 
522,chciałabym oglądać reklamowany produkt w prosty sposób tak abym od razu wiedziała że reklamowanym produktem jest właśnie marchewka bez owijania w bawełnę  prosty przekaz co daje nam marchewka czy do wyhodowania marchewki użyte były chemiczne produkty może być to piosenka która potem nie wyjdzie z głowy przez którą jedynym moim pragnieniem było zjedzenie marchewki  proces powstawania produktu w tym przypadku marchewki  mogłaby zachęcić do zdrowego odżywiania i wspierania rolników
523, bardziej prawdziwy obraz rzeczywistości reklamy są często strasznie sztuczne pokazywałaby w jaki sposób powstaje sprzedawany produkt marchew chciałabym by ukazany był cykl wzrostu marchwi proces przygotowywania gleby zasiew dbanie o rośliny zmiany pogodowe przyspieszony film rosnącej marchwi i zbiór warzyw autentyczne warunki w jakich rośnie marchew prawdziwe gospodarstwo rolne zajmujące się marchwią  nie wynajęte plany zdjęciowe i aktorów zerwanie ze sztucznością w reklamach faktyczne prawdziwe przedstawienie sprzedawanego produktu 
524,marchew pole rolnika dania z marchwi dobra do wielu dań rodzime warzywo  tak jak  naturalność natura ojczyste produkty
527,to skąd się bierze i jak ludzie konsumują marchew jest zdrowa i dobra przede wszystkim dzieci powinny jeść to warzywo w różnych wariantach rodzina spożywa marchew soki z marchwi itp  rodzina spożywa marchew soki z marchwi itp  zdrowa żywność 
528,głównie marchewki bez zbędnych innych obiektówosób że są smaczczne zdrowe atrakcyjne rzeczy zahaczające o fantastykę najlepiej rysowane spadające marchewki z nieba rozrastające się pnącza z liści marchewki są nie tylko zdrowe ale i tajne zachęcałoby to dzieci do jedzenia warzyw
532,soczyste marchewki świeżo zebrane z pola uprawnego przygotowywane przez kucharzy marchewka to bomba witamin którą warto uwzględnić w swojej diecie aby był pokazany proces wzrostu marchwi jej zbiór itd aż do talerza na którym będzie dopełnieniem potrawy  jak można łatwo  przyrządzić marchew aby była smaczna i nadal pełna wartości odżywczych  warzywa nie tylko marchew to ważny element w diecie człowieka 
533,marchewki  zachęcić do kupna danej marchwi prezentacja dbania o jej jakość  gospodarstwo na którym rosła  aby społeczeństwo spożywali więcej warzyw 
534,na pewno marchew oraz potrawy związane z jej zastosowaniem  przekaż jaki powinna nieś to wartości odżywcze jakie dostarcza nam marchew oraz to w jaki sposób można ją wykorzystać  jaki skrót tego jak powstaje od początku czyli siania po zbieranie aż do podawania na stół w rodzinnym domu  jeśli byłaby to reklama sklepu to cenę a jeżeli byłaby to reklama ogólna to wartości odżywcze dlaczego warto ją jeść i jakis przekaz który dotrze do każdego i zachęci do jej konsumowania  wartości odżywcze dlaczego warto ją jeść jak przyrządzić aby dzieci też z chęcią ją jadły 
535,żywe marchewki jak w takiej jednej reklamie parówek promowanie zdrowej żywności chciałbym by dwie marchewki śpiewały marchewki śpiewające o tym jakie są zdrowe i dobre i warto je jesc najwięcej witaminy mają polskie rośliny
536,marchew korzyść z jedzenia marchewek jedzenie marchewki coś związanego zmarchewką osoba będzie zdrowsza
538,marchew przekaz powinien informowac o tym jak warzywa w tym marchew wplywaja na nasze zdrowie i ile dobrych wartosci wprowadzaja do organizmu  reklama powinna byc dynamiczna najlepiej smieszna i zapadajaca w pamiec  ale krótka zeby przykuła uwage króliki jedzace marchew marchew jest dobra dla zdrowia
540,pole zbiory produkt naturalny siew zbiory itp ukazanie całego procesu od siewu po półki sklepowe  promowanie zdrowej żywności 
541,króliczki  jej właściwości zdrowotne  gra w pokera przez króliki których walutą będą marchewki ciekawa sceneria związana z naturą wartości odżywcze mikro i makroelementy oraz witaminy 
542,marchew  nic marchew 
543,ludzi w tym dzieci króliki soczyste marchewki marchewki nie tylko dla królika ale dobre i zdrowe dla każdego  podobnie jak w  dziecko które szczęśliwie bawi się ze swoim króliczym pupilem i dzieli się swoją marchewką współpracę zabawę poszanowanie i troska wobec zwierząt domowych
545,marchew wyrywana z ogrodu taka naturalna że naturalnie uprawiane są lepsze  gotowanie z marchwią  witaminy jakie zawiera  zdrowe odżywianie
547,skąd ta marchew pochodzi zachęcający do kupna prezentowanej marchwi pokazanie kaj marchew rosła i jak jest wyrywana prawdziwego polskiego rolnika kupuj polskie produkty
549,pola uprawne marchwi proces ich zbierania zachęcenie do kupna martwi od polskich rolników  reklama spokojna bez dynamicznych i krzyczących obrazów  spokojna wies i ekologiczne uprawy  wsparcie lokalnych producentów ekologiczne produkty zdrowy tryb życia 
552,posiłki zawierające marchew zachęcanie do spożywania na podstawie np przedstawienia jej wartości odżywczych  przyrządzanie posiłków z marchwi  proces mycia marchwi promować wartości odżywcze marchwi
554,przedstawienie pomysłów na zdrowe przekąskiproste sałatki z marchwi pola uprawne jedzenie marchwi jest zdrowe i tanie ludzie w kuchni dodający marchew do jakiegoś dania rolników zajmujących się uprawą marchwi oraz proces przewozu marchwi do supermarketu zdrowie istotna rola rolnictwa dla ludzi proste życie
559,chciałbym oglądać to jaki wpływ mają na moje zdrowie oraz to w jaki sposób ich uprawa wpływa a na środowisko  powinna przekazywać że jedzenie jej jest korzystne dla organizmu  nie mam żadnego pomysłu  powinna pokazywać że jedzenie warzyw nie jest smutnym obowiązkiem tylko czymś przyjemnym np jak jedzenie słodyczy dla dzieci  wartości dotyczące zdrowego odżywania 
560,w reklamach marchwi chciałabym oglądać świeżą marchew może być w towarzystwie innych warzyw natury pól łąk reklama powinna mieć pozytywny optymistyczny przekaz być autentyczna chciałabym by reklama pokazywała proces zbierania marchwi jej mycia lub przyrządzania chciałabym zobaczyć naturę kolorowe pola kolorowe warzywa reklama powinna przekazywać ideę bliskości z naturą i zdrowego żywienia
561,marchew i króliki ją jedzące jedzenie marchewek z upraw ekologicznych ma pozytywny wpływ na zdrowie i środowisko są króliki i zjadają sobie marchew której uprawa wcześniej byłaby przedstawiona następnie marchew przechodziłaby przez przewód pokarmowy i byłaby trawiona i mogłyby być inforacje o składnikach i ich znaczeniu dla zdrowia w jaki sposób uprawiane są marchewki i jak poszczególne składniki wpływają na zdrowie konsumenta im zdrowiej tym lepiej należy jeść świadomie
562,sposob uprawy zrywanie mycie i dostarczanie świeżych do sklepu  ze marchew jest zdrowa i wychodowana w dobrych warunkach  panowala swojska atmosfera zero udziwnień  naturalność i naturę  że nie wszystko jeat chemiczne i ze zdrowe jedzenie wygrywa z przetworzonym 
563,marchew zachęcać do jej spożywania spokój natura ludzi jedzących marchew benefity związane z jej spozywaniem oraz różnorodność możliwości jej uzyciaprzygotowania
565,przyjemne dla oka widoki i kolory  informacyjny  udzielenie informacji dotyczących jej z wizualizacja odpowiedzi  marchew i rzeczy związane z nią konkretnie  zdrowe odżywianie dbanie o środowisko świadomości prostych rzeczy mających wpływ na codzienność 
566,proces wyrywania ich z ziemi  mycia natura itd jakieś króliki zdrowo  wiejsko  tradycyjnie timelapse z ich wzrostu  pole  tereny wiejskie marchew i króliki przywiązanie do tradycji
567,cóż marchew chyba zależne od rodzaju sprzedawanej marchewki jak ma być tania to powinna być reklamowana jako taki eko to eko etc myślę że stereotypowy królik robiący coś  cenę może porównanie jakiś wartości odżywczych albo jak marchew wpływa na np zdrowie  bądźmy szczerzy marchew to tylko ze zdrowiem i zdrowym odżywianiem się łączy na pewno nie należy wypchać tu jakiejś polityki albo patriotyzmu etc
568,marchewkiproces ich zbieraniapomysły na dania z marchwią  smakzachęcenie do zdorwego produktu zachętę do konsumowania zachęcające dania z marchwi zdrowe i smaczne jedzenie
571,skojarzenia z postaciami z bajek np królik z kubusia puchatka informacje o witaminach jakie zawiera i wpływie marchwi na zdrowie zachęcać do dodania do codziennych posiłków przekonać o korzyściach zdrowotnych zapadać w pamięć jakaś nutą lub rymowanką która znienacka dopadnie mnie w autobusie i będzie trzymać cały dzień  przyciągające uwagę kolorowe postacie opowiadające o tym jak marchew uczyni mnie superzdrową i silną  odpowiedz jest taka sama jak do pytania pierwszego postacie z bajek które kojarzą mi się z marchwią jakieś mile skojarzenia które sprawią że zechce zjeść marchew mimo że jej nie lubię hah szacunek dla rolnika pani która ci te marchew sprzedała i mamie która zacięła palec krojąc warzywo do zupy zachęcanie do dbania o zdrowie i przekonania siędo warzyw
572,świeże mokre o żywym pomarańczowym kolorze marchewkj że jest smaczna i rośnie na bezpiecznej glebiema zachęcić do zakupu  raczej żeby niewiele się działo dziejsze reklamy są denerwujące raczej spokojna delikatna muzyka i miła twarz opowiadajaca o marchwi reklama w stylu gerbera  na pewno ładne marchewki  zdrowy tryb życia zdrowe odżywianie 
573,zieleń naturę zdrowie metaforyczne pozytywny nakierowany na wartości odżywcze nic konkretnego raczej spokojna sielska reklama nic gwałtownego i nachalnego jak wyżej naturę zdrowie
575,jak przygotować z niej skokpotrawę  że każdy może z niej coś przygotować  osoba pokonująca trudy przepisu odnosząca sukces  prawdziwe emocje  że każdy ma zdolności i kreatywność 
576,słodkie zwierzątka jedzące marchewki i dzieci które też te marchewki jedzą promowanie jedzenia odpowiedniej ilości warzyw że warzywa są nie tylko dla zwierząt i wegetarian jakiś superbohater królik który dostarcza dzieciom marchewki to samo co w odp  to samo co w odp 
578,króliczki które z radością je jedzą ukazanie działania zdrowotnego oraz zaprezentowanie że marchew może być świetna normalnie ale również jako dodatek do wielu dań pokazanie zbiorów marchwi a następnie krojenie jej oraz dodawanie do potraw krojenie marchwi króliczki je jedzące wiele potraw z marchwią zdrowie
579,zdrowych ludzi zadowolonych z życia że jedzenie marchwi przyczynia się do utrzymania zdrowia i dobrego samopoczucia ludzie jedzą marchew na świeżym powietrzu radość płynącą z jedzenia marchwi warto jeść zdrową żywność
580,pracę rolników żeby widzowie wiedzieli jaki wysiłek trzeba włożyć w produkcję marchwi zachęcić do kupna produktu jak marchew jest tworzona zbiór najważniejszych informacji i cenę za kg że każdy produkt jest starannie tworzony z dbałością
581,króliki najlepiej brak jakiegokolwiek przekazu wiadomo o co chodzi w reklamie a ja nie lubię zbędnej otoczki czy dorabiania ideologii w kwestiach które tego nie potrzebują po prostu króliki jedzące marchewki na korzyść wpływałyby aspekty ekologiczne wynikające np z hodowli marchwi jak wcześniej wspominałam najlepiej brak jakichkolwiek idei czy wartości gdyż reklama marchwi tego nie potrzebuje
582,pokazanie ciężkiej pracy rolników która uświadomi ze nie wszyscy maja dostęp do zdrowego posiłku powinniśmy doceniać kazdy posiłek jaki mamy promować witaminyzdrowe odżywianie zdrowsze posiłki sa czasem łatwiejsze niz rozne gotowce ciekawy sposób przygotowaniawykorzystania codzienności  ciekawy przekaz który spowoduje ze chcemy zobaczyć reklamę raz jeszcze nic czekac az w końcu sie skonczy warzywa w codzienności  są wazniejsze niz rozne fast foody
583,proces ich hodowli  korzyści płynące ze spożywania marchwi  przedstawiony proces hodowli marchwi  proces hodowli marchwi pytanie tożsame z  witaminy zawarte w marchwi i co się dzieje kiedy organizm nie otrzymuje ich odpowiednią ilość 
584,najlepiej jakieś fajne animacje  raczej prosty i dostępny dla każdego  nie za wiele żeby nie dostać zbyt dużej ilości bodźców  marchewki urządzające sobie piknik można spróbować skierować się ku zdrowej żywności 
585,marchew gdzie jest produkowana itp  pokazywanie marchwi konia zdrowy tryb życia 
586,to skąd pochodzą zbiory przez kogo są uprawiane  wspieraj ekologiczne regionalne uprawy najlepiej nic dynamicznego jakiś spokojny swojski krajobraz  pomysły związane np z wykorzystaniem marchwi np produkcja ciastaciasteczek soków itp  wartościidee związane ze zdrowym odżywianiem się i wspieraniem lokalnych rolników
588,chciałbym widzieć przyjaciela marchwi oraz dorodne i zdrowe marchwie przekaz reklamy marchwi miałby mieć przekaz o jej smaku dorodne marchewki oraz ich jedzenie chciałbym zobaczyć jedzenie marchwi robienie przetworów marchwi oraz inne miałaby przekazywać o walorach smakowych oraz zdrowotnych marchwii
